index,amount,price,"timestamp",type,id,buy_order_id,sell_order_id
0,1,0.08098159,"2018-08-15 18:50:39",0,72343003,2002854748,2002854720
1,0.38825912,0.08098154,"2018-08-15 18:50:49",0,72343011,2002855431,2002855426
2,0.61174088,0.08098155,"2018-08-15 18:50:49",0,72343012,2002855431,2002855316
3,1,0.08098152,"2018-08-15 18:50:59",0,72343020,2002856035,2002856009
4,1.02806367,0.0810745,"2018-08-15 18:59:15",0,72343610,2002891921,2002891852
5,0.99141631,0.08107555,"2018-08-15 19:19:24",0,72345114,2002978289,2002977649
6,0.2,0.0810725,"2018-08-15 19:20:50",0,72345220,2002985888,2002985858
7,0.07203689,0.08095715,"2018-08-15 19:36:13",0,72346174,2003057886,2003022051
8,0.08979189,0.08102824,"2018-08-15 19:48:12",0,72346922,2003108326,2003070304
9,0.08198327,0.08111312,"2018-08-15 19:50:36",0,72347476,2003121379,2002799839
10,0.02259835,0.08130445,"2018-08-15 19:50:36",0,72347477,2003121379,2003078461
11,0.09096,0.08102996,"2018-08-15 19:51:53",1,72347621,2003127867,2003127890
12,0.23,0.08130437,"2018-08-15 19:59:11",0,72349044,2003167927,2003166710
13,0.01695,0.08105203,"2018-08-15 19:59:13",1,72349048,2003168058,2003168090
14,1.203,0.08105431,"2018-08-15 20:00:54",1,72349276,2003176289,2003177607
15,0.03949,0.081052,"2018-08-15 20:02:47",1,72349822,2003149588,2003189148
16,1.7095176,0.08081771,"2018-08-15 20:05:12",1,72350001,2003202061,2003202113
17,1.27694564,0.08081717,"2018-08-15 20:05:12",0,72350002,2003202115,2003202113
18,1,0.08081717,"2018-08-15 20:05:14",0,72350003,2003202270,2003202113
19,0.11795272,0.08081717,"2018-08-15 20:05:24",0,72350015,2003203090,2003202113
20,1,0.08081717,"2018-08-15 20:05:25",0,72350016,2003203108,2003202113
21,0.02246902,0.08081717,"2018-08-15 20:05:30",0,72350026,2003203544,2003202113
22,0.0169,0.081108,"2018-08-15 20:08:09",1,72350199,2003215456,2003215658
23,1.22690889,0.08130188,"2018-08-15 20:13:33",0,72350579,2003241325,2003241319
24,0.09433,0.08086685,"2018-08-15 20:14:52",1,72350669,2003246855,2003247223
25,0.20567,0.0808668,"2018-08-15 20:14:54",0,72350670,2003247337,2003247223
26,1.73394619,0.08111036,"2018-08-15 20:50:18",0,72352231,2003388944,2003388939
27,0.08,0.08081717,"2018-08-15 20:57:21",1,72352409,2003203927,2003414800
28,0.12,0.08081717,"2018-08-15 20:57:53",1,72352433,2003203927,2003417099
29,1.25585141,0.08120884,"2018-08-15 21:29:30",0,72353484,2003534407,2003514462
30,0.36367836,0.08120886,"2018-08-15 21:29:31",0,72353485,2003534433,2003446735
31,0.0166,0.08113339,"2018-08-15 21:50:29",1,72354518,2003616863,2003616873
32,0.36367836,0.08149171,"2018-08-15 22:01:51",0,72354872,2003660814,2003660800
33,8.64,0.08149173,"2018-08-15 22:01:51",0,72354873,2003660814,2003660767
34,2.99632164,0.08149176,"2018-08-15 22:01:51",0,72354874,2003660814,2003660801
35,2,0.0815643,"2018-08-15 22:14:01",0,72355365,2003708258,2003708247
36,0.23474708,0.08148983,"2018-08-15 22:21:00",0,72355748,2003734125,2003733686
37,3.3724565,0.08156547,"2018-08-15 22:36:53",0,72356316,2003802067,2003801444
38,0.1608419,0.08081896,"2018-08-15 22:50:16",1,72356778,2003857511,2003857525
39,0.66810803,0.08081717,"2018-08-15 22:55:58",1,72356939,2003203927,2003882956
40,0.00500699,0.08081717,"2018-08-15 22:55:59",1,72356942,2003203927,2003883013
41,2.9897976,0.08062142,"2018-08-15 22:56:09",1,72356952,2003883876,2003883897
42,1.23419996,0.0806214,"2018-08-15 22:56:09",1,72356953,2003883840,2003883897
43,0.40246912,0.08069889,"2018-08-15 22:56:17",0,72356965,2003884640,2003884608
44,0.37037038,0.08069886,"2018-08-15 22:56:19",0,72356966,2003884743,2003884701
45,0.62155605,0.08087497,"2018-08-15 23:03:59",1,72357529,2003923647,2003923651
46,1.99405221,0.08123346,"2018-08-15 23:18:04",0,72358423,2003989419,2003989315
47,0.549,0.0808965,"2018-08-15 23:24:41",0,72359047,2004023476,2004023462
48,0.4586,0.08089663,"2018-08-15 23:24:41",1,72359050,2004023476,2004023500
49,1.187,0.0808965,"2018-08-15 23:24:42",0,72359051,2004023577,2004023532
50,0.10415744,0.08125199,"2018-08-15 23:26:25",0,72359222,2004032499,2004032474
51,0.80705221,0.08086203,"2018-08-15 23:26:28",1,72359226,2004026251,2004032695
52,0.38335588,0.08086201,"2018-08-15 23:26:29",1,72359228,2004026272,2004032695
